trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
111,False,"{'a': 0.5, 'e': 0.8948890480710096}",25,10,-119.52317740520981,"{0: 8, 1: 0, 2: 5, 3: 0, 4: 2}",1
112,False,"{'a': 0.5, 'e': 0.8939941590229386}",25,0,-164.08904994345204,"{0: 15, 1: 3, 2: 3, 3: 1, 4: 3}",0
113,False,"{'a': 0.5, 'e': 0.8931001648639156}",25,0,-130.75307110072356,"{0: 15, 1: 0, 2: 7, 3: 2, 4: 1}",0
114,False,"{'a': 0.5, 'e': 0.8922070646990518}",25,0,-141.75782088528288,"{0: 15, 1: 2, 2: 5, 3: 1, 4: 2}",0
115,False,"{'a': 0.5, 'e': 0.8913148576343527}",20,0,-77.73865697693853,"{0: 13, 1: 1, 2: 5, 3: 0, 4: 1}",0
116,False,"{'a': 0.5, 'e': 0.8904235427767183}",20,0,-128.96692581295966,"{0: 12, 1: 1, 2: 4, 3: 1, 4: 2}",0
117,False,"{'a': 0.5, 'e': 0.8895331192339416}",25,0,-132.54124704677216,"{0: 14, 1: 6, 2: 2, 3: 1, 4: 2}",0
118,False,"{'a': 0.5, 'e': 0.8886435861147077}",20,0,-171.30786513134595,"{0: 11, 1: 1, 2: 4, 3: 1, 4: 3}",0
119,False,"{'a': 0.5, 'e': 0.887754942528593}",30,0,-50.097111842753,"{0: 20, 1: 6, 2: 4, 3: 0, 4: 0}",0
120,False,"{'a': 0.5, 'e': 0.8868671875860644}",30,0,-98.18692780226392,"{0: 21, 1: 5, 2: 2, 3: 0, 4: 2}",0
121,False,"{'a': 0.5, 'e': 0.8859803203984784}",20,0,-123.74210744633592,"{0: 12, 1: 3, 2: 2, 3: 1, 4: 2}",0
122,False,"{'a': 0.5, 'e': 0.88509434007808}",20,0,-112.82528403230171,"{0: 12, 1: 2, 2: 4, 3: 0, 4: 2}",0
123,False,"{'a': 0.5, 'e': 0.8842092457380019}",20,0,-113.28701420699986,"{0: 13, 1: 2, 2: 2, 3: 1, 4: 2}",0
124,False,"{'a': 0.5, 'e': 0.8833250364922639}",25,0,-88.43656212096774,"{0: 16, 1: 3, 2: 4, 3: 1, 4: 1}",0
125,False,"{'a': 0.5, 'e': 0.8824417114557717}",25,9,2.001163681667496,"{0: 14, 1: 1, 2: 1, 3: 0, 4: 0}",1
126,False,"{'a': 0.5, 'e': 0.8815592697443159}",30,0,-95.67796209469124,"{0: 21, 1: 2, 2: 5, 3: 1, 4: 1}",0
127,False,"{'a': 0.5, 'e': 0.8806777104745716}",20,0,-145.32403108598945,"{0: 11, 1: 4, 2: 2, 3: 0, 4: 3}",0
128,False,"{'a': 0.5, 'e': 0.8797970327640969}",20,0,-47.787170295288384,"{0: 13, 1: 3, 2: 3, 3: 1, 4: 0}",0
129,False,"{'a': 0.5, 'e': 0.8789172357313328}",25,15,0.44588809191642476,"{0: 8, 1: 1, 2: 1, 3: 0, 4: 0}",1
130,False,"{'a': 0.5, 'e': 0.8780383184956015}",30,0,-178.12791407682337,"{0: 19, 1: 2, 2: 5, 3: 1, 4: 3}",0
131,False,"{'a': 0.5, 'e': 0.8771602801771059}",25,0,-125.43181207092049,"{0: 16, 1: 1, 2: 6, 3: 0, 4: 2}",0
132,False,"{'a': 0.5, 'e': 0.8762831198969288}",25,2,-91.98679500693004,"{0: 15, 1: 0, 2: 6, 3: 1, 4: 1}",1
133,False,"{'a': 0.5, 'e': 0.8754068367770318}",25,0,-77.83005436143014,"{0: 15, 1: 3, 2: 6, 3: 1, 4: 0}",0
134,False,"{'a': 0.5, 'e': 0.8745314299402548}",20,0,-165.59912957402867,"{0: 8, 1: 3, 2: 6, 3: 1, 4: 2}",0
135,False,"{'a': 0.5, 'e': 0.8736568985103146}",25,0,-63.13507105655168,"{0: 19, 1: 2, 2: 3, 3: 0, 4: 1}",0
136,False,"{'a': 0.5, 'e': 0.8727832416118043}",35,5,-88.210959294219,"{0: 20, 1: 1, 2: 8, 3: 0, 4: 1}",1
137,False,"{'a': 0.5, 'e': 0.8719104583701925}",30,0,-162.0628960494498,"{0: 15, 1: 2, 2: 11, 3: 1, 4: 1}",0
138,False,"{'a': 0.5, 'e': 0.8710385479118223}",20,0,-76.44986189379442,"{0: 13, 1: 1, 2: 5, 3: 0, 4: 1}",0
139,False,"{'a': 0.5, 'e': 0.8701675093639105}",25,1,-43.29690180394281,"{0: 16, 1: 2, 2: 6, 3: 0, 4: 0}",1
140,False,"{'a': 0.5, 'e': 0.8692973418545467}",30,0,-95.6641824398239,"{0: 19, 1: 0, 2: 10, 3: 1, 4: 0}",0
141,False,"{'a': 0.5, 'e': 0.8684280445126921}",20,0,-92.0445568329079,"{0: 16, 1: 0, 2: 1, 3: 1, 4: 2}",0
142,False,"{'a': 0.5, 'e': 0.8675596164681794}",20,0,-88.82814316105595,"{0: 15, 1: 0, 2: 3, 3: 0, 4: 2}",0
143,False,"{'a': 0.5, 'e': 0.8666920568517111}",30,0,-72.17183300008321,"{0: 21, 1: 1, 2: 6, 3: 2, 4: 0}",0
144,False,"{'a': 0.5, 'e': 0.8658253647948594}",20,1,-45.496330550061685,"{0: 13, 1: 5, 2: 0, 3: 0, 4: 1}",1
145,False,"{'a': 0.5, 'e': 0.8649595394300645}",30,19,-0.9079012298997462,"{0: 8, 1: 3, 2: 0, 3: 0, 4: 0}",1
146,False,"{'a': 0.5, 'e': 0.8640945798906344}",20,14,2.995275357827121,"{0: 5, 1: 1, 2: 0, 3: 0, 4: 0}",1
147,False,"{'a': 0.5, 'e': 0.8632304853107438}",25,0,-66.3130006304669,"{0: 16, 1: 2, 2: 7, 3: 0, 4: 0}",0
148,False,"{'a': 0.5, 'e': 0.862367254825433}",20,12,-20.260379298817632,"{0: 5, 1: 0, 2: 3, 3: 0, 4: 0}",1
149,False,"{'a': 0.5, 'e': 0.8615048875706075}",20,0,-20.930076095860894,"{0: 16, 1: 0, 2: 4, 3: 0, 4: 0}",0
150,False,"{'a': 0.5, 'e': 0.8606433826830369}",30,0,-112.59956691074393,"{0: 18, 1: 5, 2: 5, 3: 1, 4: 1}",0
151,False,"{'a': 0.5, 'e': 0.8597827393003539}",20,0,-84.87727460262667,"{0: 13, 1: 1, 2: 4, 3: 1, 4: 1}",0
152,False,"{'a': 0.5, 'e': 0.8589229565610536}",25,0,-125.35891283473153,"{0: 16, 1: 2, 2: 4, 3: 1, 4: 2}",0
153,False,"{'a': 0.5, 'e': 0.8580640336044925}",20,0,-76.40773544203913,"{0: 13, 1: 3, 2: 2, 3: 1, 4: 1}",0
154,False,"{'a': 0.5, 'e': 0.857205969570888}",20,0,-59.56838586326748,"{0: 13, 1: 1, 2: 5, 3: 1, 4: 0}",0
155,False,"{'a': 0.5, 'e': 0.8563487636013172}",20,0,-50.293053717406224,"{0: 15, 1: 2, 2: 2, 3: 0, 4: 1}",0
156,False,"{'a': 0.5, 'e': 0.8554924148377159}",30,0,-165.08666132188964,"{0: 16, 1: 4, 2: 7, 3: 1, 4: 2}",0
157,False,"{'a': 0.5, 'e': 0.8546369224228781}",25,0,-116.20119628429877,"{0: 18, 1: 1, 2: 3, 3: 1, 4: 2}",0
158,False,"{'a': 0.5, 'e': 0.8537822855004553}",30,0,-171.99872741854816,"{0: 16, 1: 3, 2: 6, 3: 4, 4: 1}",0
159,False,"{'a': 0.5, 'e': 0.8529285032149548}",20,11,-4.9266392332762186,"{0: 7, 1: 1, 2: 1, 3: 0, 4: 0}",1
160,False,"{'a': 0.5, 'e': 0.8520755747117399}",20,0,-135.9032415914254,"{0: 12, 1: 0, 2: 5, 3: 1, 4: 2}",0
161,False,"{'a': 0.5, 'e': 0.8512234991370281}",25,0,-168.33347029621422,"{0: 14, 1: 2, 2: 4, 3: 3, 4: 2}",0
162,False,"{'a': 0.5, 'e': 0.8503722756378911}",30,19,-47.72741045983663,"{0: 8, 1: 0, 2: 2, 3: 0, 4: 1}",1
163,False,"{'a': 0.5, 'e': 0.8495219033622532}",20,0,-136.7980635780136,"{0: 12, 1: 1, 2: 4, 3: 1, 4: 2}",0
164,False,"{'a': 0.5, 'e': 0.8486723814588909}",20,0,-166.44699372826622,"{0: 11, 1: 0, 2: 4, 3: 3, 4: 2}",0
165,False,"{'a': 0.5, 'e': 0.847823709077432}",20,0,-98.36711817030057,"{0: 15, 1: 1, 2: 1, 3: 1, 4: 2}",0
166,False,"{'a': 0.5, 'e': 0.8469758853683546}",20,0,-132.52660247711825,"{0: 11, 1: 1, 2: 6, 3: 0, 4: 2}",0
167,False,"{'a': 0.5, 'e': 0.8461289094829862}",20,0,-96.29275947246583,"{0: 13, 1: 1, 2: 3, 3: 2, 4: 1}",0
