trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
802,False,"{'a': 0.5, 'e': 0.4482512994620033}",20,2,26.37579404201285,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
803,False,"{'a': 0.5, 'e': 0.4478030481625413}",25,6,8.110023335314441,"{0: 16, 1: 2, 2: 1, 3: 0, 4: 0}",1
804,False,"{'a': 0.5, 'e': 0.44735524511437874}",25,4,-78.19381323156135,"{0: 16, 1: 1, 2: 2, 3: 0, 4: 2}",1
805,False,"{'a': 0.5, 'e': 0.4469078898692644}",25,11,-1.3454363669646103,"{0: 12, 1: 1, 2: 0, 3: 1, 4: 0}",1
806,False,"{'a': 0.5, 'e': 0.4464609819793951}",25,0,-43.145465846213206,"{0: 19, 1: 1, 2: 3, 3: 2, 4: 0}",0
807,False,"{'a': 0.5, 'e': 0.44601452099741573}",20,9,-2.152453703241492,"{0: 9, 1: 0, 2: 2, 3: 0, 4: 0}",1
808,False,"{'a': 0.5, 'e': 0.4455685064764183}",30,13,29.00730459770209,"{0: 16, 1: 1, 2: 0, 3: 0, 4: 0}",1
809,False,"{'a': 0.5, 'e': 0.4451229379699419}",20,11,13.009193245610694,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
810,False,"{'a': 0.5, 'e': 0.44467781503197196}",20,7,0.021826426781154318,"{0: 11, 1: 0, 2: 2, 3: 0, 4: 0}",1
811,False,"{'a': 0.5, 'e': 0.44423313721693997}",20,13,14.21435422730244,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
812,False,"{'a': 0.5, 'e': 0.44378890407972305}",20,10,4.553046284699226,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
813,False,"{'a': 0.5, 'e': 0.44334511517564335}",20,0,-59.55234914892171,"{0: 14, 1: 2, 2: 3, 3: 0, 4: 1}",0
814,False,"{'a': 0.5, 'e': 0.4429017700604677}",20,10,-32.70066425389167,"{0: 6, 1: 0, 2: 4, 3: 0, 4: 0}",1
815,False,"{'a': 0.5, 'e': 0.44245886829040726}",30,0,-34.23123636376135,"{0: 26, 1: 1, 2: 1, 3: 1, 4: 1}",0
816,False,"{'a': 0.5, 'e': 0.44201640942211684}",20,6,-51.17167714101402,"{0: 10, 1: 1, 2: 2, 3: 0, 4: 1}",1
817,False,"{'a': 0.5, 'e': 0.44157439301269474}",25,15,16.933920826504934,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
818,False,"{'a': 0.5, 'e': 0.44113281861968207}",30,19,-18.456619464886423,"{0: 8, 1: 1, 2: 1, 3: 1, 4: 0}",1
819,False,"{'a': 0.5, 'e': 0.4406916858010624}",20,10,17.661757451548866,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
820,False,"{'a': 0.5, 'e': 0.4402509941152613}",25,1,-1.233918154018226,"{0: 21, 1: 2, 2: 0, 3: 1, 4: 0}",1
821,False,"{'a': 0.5, 'e': 0.43981074312114604}",30,10,-46.518001371220095,"{0: 15, 1: 1, 2: 3, 3: 0, 4: 1}",1
822,False,"{'a': 0.5, 'e': 0.4393709323780249}",25,14,16.650789901832724,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
823,False,"{'a': 0.5, 'e': 0.4389315614456469}",30,7,-53.3338991563064,"{0: 18, 1: 0, 2: 4, 3: 0, 4: 1}",1
824,False,"{'a': 0.5, 'e': 0.43849262988420123}",30,0,36.7050185336817,"{0: 29, 1: 1, 2: 0, 3: 0, 4: 0}",0
